"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang R.; Yang Y.; Huang L.; Zhou K.; Hong Q.; Zhang H.; Lu A.","Zhang, Rui (59229252400); Yang, Yizhang (60503169900); Huang, Liyan (60503758700); Zhou, Kangsheng (60502970400); Hong, Qianli (60503564100); Zhang, Huawei (57003164900); Lu, Anxin (60503367200)","59229252400; 60503169900; 60503758700; 60502970400; 60503564100; 57003164900; 60503367200","Spatiotemporal Analysis of Debris-Covered Glacier Morphological Features Extraction Using U-Net: A Case Study of Gongsenglongba Glacier, Meili Snow Mountains; [基于 U-Net 模型的表碛覆盖型冰川微地貌提取及时空变化分析——以梅里雪山共森龙巴冰川为例]","2025","Remote Sensing Technology and Application","40","6","","1434","1446","0","10.11873/j.issn.1004-0323.2025.6.1434","https://www.scopus.com/pages/publications/105032786324?origin=resultslist","Owing to complex climatic and topographic constraints，optical and microwave remote sensing applications in the Meili Snow Mountains region face significant limitations. This study employed high-precision photogrammetry using a DJI Mavic 3E drone equipped with a Haixingda iRTK20 GNSS system to survey the terminus of the Gongsenglongba Glacier on October 1，2023，and October 1，2024. Automated extraction of glacial morphological features was accomplished using a U-Net deep learning model. The result shows：The UNet model achieved high accuracy and exhibited strong generalization capabilities in extracting glacial morphological features. Key observations during the study period(October 2023 to October 2024)include：a significant average surface elevation reduction of 2.37 meters at the glacier terminus；a continuous expansion trend in supraglacial lakes with relatively uniform spatial distribution；widespread development of ice cliffs showing progressive expansion towards the direction of glacier retreat，particularly pronounced in the middle and upper terminus sectors；and a concentrated distribution of supraglacial crevasses within the 3 910~4 000 m and 4 110~4 200 m elevation bands，contrasting with sparse occurrence elsewhere. This research establishes an intelligent extraction framework for glacial morphological features by integrating drone imagery with deep learning methodologies. The developed approach provides robust technical support for high-precision monitoring of glacial dynamics and their climatic responses. © 2025 Science Press. All rights reserved.","Deep learning; Glacier; Photogrammetry; Unmanned Aerial Vehicle(UAV)","","Article","Final","","Scopus","2-s2.0-105032786324"
"Harcourt W.D.; Pearce D.M.; Gajek W.; Lovell H.; Mannerfelt E.S.; Kääb A.; Benn D.I.; Luckman A.; Hann R.; Kohler J.; Strozzi T.; McCerery R.; Davies B.J.","Harcourt, William D. (57204863857); Pearce, Danni M. (56018850900); Gajek, Wojciech (57194439815); Lovell, Harold (55250377400); Mannerfelt, Erik S. (57364308100); Kääb, Andreas (7003645727); Benn, Douglas I. (7007032556); Luckman, Adrian (7004517840); Hann, Richard (57202255731); Kohler, Jack (7202427376); Strozzi, Tazio (7006982557); McCerery, Rebecca (57219399418); Davies, Bethan J. (33567807100)","57204863857; 56018850900; 57194439815; 55250377400; 57364308100; 7003645727; 7007032556; 7004517840; 57202255731; 7202427376; 7006982557; 57219399418; 33567807100","Surging glaciers in Svalbard: Observing their distribution, characteristics and evolution","2026","Earth-Science Reviews","275","","105410","","","1","10.1016/j.earscirev.2026.105410","https://www.scopus.com/pages/publications/105029275953?origin=resultslist","Glacier surges are episodes of significantly increased ice flow due to ice-dynamical feedbacks, and are often repeated in a quasi-periodical manner. Ice mass is redistributed during a surge, which leads to surface lowering at high elevation as ice is transferred down-glacier and thickening nearer the terminus. In this paper, we review different approaches for monitoring and detecting glacier surges in Svalbard, one of the most prominent global clusters of surge-type glaciers. Current surge detection is mainly based upon tracking the speed of glaciers over time, measuring elevation and frontal changes, and more recently automatically detecting surface changes such as increased crevassing. Thermal and hydrological changes near the glacier bed drive surge dynamics and can be measured using geophysical sensors such as ground-penetrating radar (GPR) and seismometers. When glaciers surge, they often produce diagnostic landforms in subglacial and proglacial environments, allowing historical surging to be identified even if surges have not been directly observed. Through this review, we have compiled an updated database of surge-type glaciers in Svalbard and find that 36% of glaciers display surge-type behaviour, which accounts for 75% of the total glacier area on Svalbard. Only 10% of all glaciers have been directly observed to surge, yet account for 48% of the total glacier area on Svalbard. Svalbard surge-type glaciers have gentler slopes, are generally longer, and extend across a larger elevation range compared to non surge-type glaciers across the archipelago. We find that the behaviour of surge-type glaciers is variable and more closely resembles a continuum from glaciers that do not surge to those which redistribute mass in a single event of strongly enhanced ice flux. We can describe the variability in surge behaviour using the concept of enthalpy and a six-stage surge model that characterises the build-up of energy at the glacier bed driven initially by thermal change and then ice acceleration which is prompted by changes in subglacial hydrology. Observations of glacier surges have improved significantly with routine mapping from satellites such as Sentinel-1, Sentinel-2 and the Landsat satellite series. Furthermore, an increasing number of geophysical measurements is enabling an improved understanding of subglacial processes before, during and after a surge, which is crucial for improving models of surge behaviour. As our observations of surges continue to improve, we expect to uncover new elements and details of surge behaviour, reaffirming the need to rethink the binary classification of glaciers as either ‘surge-type’ or ‘not surge-type’ in Svalbard and across the world. © 2026 The Authors.","Continuum of behaviour; Geophysics; Glacier surging; Palaeo-glaciology; Satellite remote sensing","Arctic; Svalbard; Svalbard and Jan Mayen; glacier dynamics; glaciology; ground penetrating radar; ice flow; landform; remote sensing; satellite imagery; seismograph; sensor; subglacial environment","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105029275953"
"Strötz L.; Leppäranta M.; Weckström K.; Heikkilä M.; Weckström J.","Strötz, Ludwig (60277816100); Leppäranta, Matti (7003919484); Weckström, Kaarina (6602426225); Heikkilä, Maija (16316379300); Weckström, Jan (55902327800)","60277816100; 7003919484; 6602426225; 16316379300; 55902327800","Ice Phenology and Thickness in Small Arctic Lakes: Field Observations and Mechanistic Controls","2026","Water Resources Research","62","1","e2025WR041332","","","2","10.1029/2025WR041332","https://www.scopus.com/pages/publications/105026601316?origin=resultslist","The Arctic is the fastest-warming region globally. Lake ice is a sentinel indicator of Arctic change, with wide impacts on hydrological regimes, biodiversity, and ecosystem services. While small lakes are ubiquitous across northern boreal and tundra zones, ice observations remain biased toward large lakes with distinct freezing and melting dynamics. We present high-resolution, field camera-based ice phenology records of 10 small lakes (2–20 ha) in northwest Finnish Lapland spanning low (LE, ∼300 m) and high (HE, 770–1,010 m) elevations over two consecutive seasons. Ice-on timing was uniform across elevations, occurring at cumulative degree-day sums of −10°C·d on shallow LE lakes, and −30°C·d on deeper HE lakes. Thawing from groundwater upwelling was observed across many LE lakes. While the recorded melting process at LE occurred over several days during late May, at HE it extended over weeks into late June to early July, due to long-lasting continuous snow cover, cold meltwater inflow, and increased sublimation. Our thermodynamic lake ice model accurately predicted total ice thickness (R = 0.99, RMSE ≤ 5.8 cm), reaching ∼80 cm at LE and ∼100 cm at HE, but the snow-ice fraction was underpredicted. Freezing and melting were strongly modulated by snow, highlighting the impact of future precipitation changes on ice thickness, quality, and ice-off timing. The rapid and spatially uniform freezing suggests a direct response of small lake phenology to Arctic warming—unlike large lakes, where the summer heat storage, depth, and turbulent mixing are important modulators. © 2026. The Author(s).","Arctic lakes; climate change; ice phenology; in situ observations; lake ice; thermodynamic ice modeling","Finland; Lappi [Finland]; Biodiversity; Ecosystems; Glaciers; Groundwater; Ice; Ice control; Lakes; Metal melting; Modulators; Snow; Arctic lakes; Field observations; Ice model; Ice phenology; Ice thickness; In-situ observations; Lake ice; Large lakes; Mechanistics; Thermodynamic ice modeling; climate change; freezing; ice thickness; in situ measurement; melting; meltwater; observational method; phenology; thawing; thermodynamics; tundra; turbulent mixing; upwelling; Freezing","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105026601316"
"Lu K.; Chen Y.","Lu, Kai (60222315400); Chen, Yuqing (57195722938)","60222315400; 57195722938","Active-source seismic characterization of subglacial lakes: numerical modeling, field validation, and implications for Antarctic exploration","2026","Cryosphere","20","3","","1497","1522","0","10.5194/tc-20-1497-2026","https://www.scopus.com/pages/publications/105032694461?origin=resultslist","Subglacial lakes offer unique opportunities to study ice sheet dynamics, microbial life, and climate evolution. Motivated by the upcoming seismic survey of Qilin Subglacial Lake, this study constructs a representative subglacial lake model and extends it to six geological scenarios to examine their effects on seismic wavefield characteristics, revealing the prominent occurrence of guided waves and multiple reflections. Simulated data are then analyzed to identify key imaging challenges – particularly those arising from strong multiples, low-velocity firn layers, and source-side ghosts – and to assess processing strategies, such as salt flooding, that enhance imaging accuracy and suppress noise. Commonly used seismic acquisition systems in polar regions are also reviewed to summarize their characteristics and implications for survey design. Finally, four seismic lines from Lago Subglacial CECs are processed, demonstrating strong consistency with the simulation results in terms of key seismic features, thereby validating the proposed theoretical approach. Collectively, these efforts provide a robust and broadly applicable framework for understanding seismic wave propagation in subglacial lake environments, offering both theoretical insights and methodological guidance for future Antarctic investigations. © 2026 Kai Lu.","","firn; ice sheet; numerical model; seismic survey; seismic wave; simulation; survey method; wave propagation","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105032694461"
"Kirkham J.D.; Hogan K.A.; Larter R.D.; Arnold N.S.; Self E.; Games K.; Ely J.C.; Clark C.D.; Scourse J.D.; Shackleton C.; Arndt J.E.; Hillenbrand C.-D.; Huuse M.; Stewart M.A.; Ottesen D.; Dowdeswell J.A.","Kirkham, James D. (57197795979); Hogan, Kelly A. (35798492500); Larter, Robert D. (7003885261); Arnold, Neil S. (7102788675); Self, Ed (57192381037); Games, Ken (6602427378); Ely, Jeremy C. (56040812500); Clark, Chris D. (35751898000); Scourse, James D. (6701724255); Shackleton, Calvin (57194551698); Arndt, Jan Erik (57218208920); Hillenbrand, Claus-Dieter (6701761712); Huuse, Mads (6602668296); Stewart, Margaret A. (55438148300); Ottesen, Dag (7003362014); Dowdeswell, Julian A. (7006457242)","57197795979; 35798492500; 7003885261; 7102788675; 57192381037; 6602427378; 56040812500; 35751898000; 6701724255; 57194551698; 57218208920; 6701761712; 6602668296; 55438148300; 7003362014; 7006457242","Change in iceberg calving behavior preceded North Sea ice shelf disintegration during the last deglaciation","2025","Nature Communications ","16","1","3184","","","4","10.1038/s41467-025-58304-5","https://www.scopus.com/pages/publications/105003401822?origin=resultslist","Understanding how regime shifts in iceberg calving behavior affect ice shelf stability remains a challenge for numerical models. This is an important question as we consider the fate of the ice shelves that currently buttress the Antarctic Ice Sheet and hold back the bulk of its potential upstream sea-level contribution. Using buried landforms, we demonstrate that ice shelves fringed the former British-Irish Ice Sheet (BIIS) and document their disintegration ~18,000 years ago. The ice shelves produced massive (5–10 s km wide, 50–180 m thick) tabular icebergs until widespread ice shelf break-up shifted the calving regime to smaller bergs; a change that coincided with the collapse of marine-based ice across the central North Sea. We propose that the BIIS reached a climatic threshold around 18 ka which caused massive surface melting of its ice shelves, triggering hydrofracturing of crevasses that ultimately led to their disintegration and likely enhanced ice-retreat rates. © The Author(s) 2025.","","Antarctic Ice Sheet; Antarctica; Atlantic Ocean; North Sea; ice; collapse structure; ice retreat; ice shelf; iceberg calving; last deglaciation; melting; sea level change; Article; deglaciation; fracking; glacial period; ice sheet; ice shelf; iceberg; melting point; North Sea; seismicity; Antarctica; article; controlled study; human experiment; North Sea; sea ice; sea level; therapy","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105003401822"
"Zhou C.; Liu M.; Rosenheim B.E.; Bianchi T.S.; Zhang N.H.; Cai X.; Zhang Q.; Wang X.","Zhou, Chengzhen (58759738500); Liu, Maodian (57189870268); Rosenheim, Brad E. (7801352248); Bianchi, Thomas S. (7006921285); Zhang, Nikki H. (59602177100); Cai, Xingrui (57219394999); Zhang, Qianru (58842719100); Wang, Xuejun (7501856188)","58759738500; 57189870268; 7801352248; 7006921285; 59602177100; 57219394999; 58842719100; 7501856188","Warming substantially amplifies Antarctic coastal polynyas as key carbon sinks","2025","Proceedings of the National Academy of Sciences of the United States of America","122","51","e2511585122","","","1","10.1073/pnas.2511585122","https://www.scopus.com/pages/publications/105024386326?origin=resultslist","The Southern Ocean plays an important role in the global carbon cycle by absorbing atmospheric CO2, aiding climate change mitigation. Antarctic coastal polynyas (ACPs) are key CO2 uptake areas, yet whether this CO2 is effectively sequestered as organic carbon (OC) in marine sediments, and the spatiotemporal dynamics and drivers of this process, remains unclear. Here, we reconstruct a high-resolution record of Holocene (~12,000 y BP) to present-day OC accumulation fluxes and sources in ACP sediments using existing data as well as our measurements. We find that despite covering only 3% of the Southern Ocean, ACPs account for approximately 42% of the modern OC accumulation across the Southern Ocean. Since the Holocene, OC accumulation has increased ninefold due to climate warming, largely driven by marine primary production. Structural equation modeling reveals that warming enhances the biological carbon pump and OC accumulation efficiency by expanding and prolonging open water areas in ACPs, with larger ACPs showing stronger feedback. Furthermore, basal melt from ice shelves releases fine particulate matter, further boosting OC accumulation. Our findings highlight that climate warming has greatly amplified ACPs’ carbon-sequestration efficiency, making them rapidly expanding and crucial carbon sinks in the Southern Ocean, with the potential to provide strong negative feedback in future climate change. Copyright © 2025 the Author(s). Published by PNAS.","Antarctica; carbon sink; climate change; polynya","biogenic silica; calcium carbonate; carbon 14; carbon dioxide; chlorophyll a; nitrogen; organic carbon; surface water; unclassified drug; Antarctica; Article; bulk density; carbon cycle; carbon pump; carbon sequestration; carbon sink; carbon storage; climate change; climate warming; coastal polynyas; ecosystem; elemental analysis; environmental factor; mass accumulation rate; mineralization; negative feedback; particulate matter; photosynthesis; phytoplankton; quality control; sea surface temperature; sediment; simulation; Southern Ocean; spatiotemporal analysis; structural equation modeling; temperature; water content; Antarctica; article; carbon sequestration; climate change; climate change mitigation; Holocene; ice shelf; particulate matter 2.5; warming","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105024386326"
"Leger T.P.M.; Jouvet G.; Kamleitner S.; Mey J.; Herman F.; Finley B.D.; Ivy-Ochs S.; Vieli A.; Henz A.; Nussbaumer S.U.","Leger, Tancrède P. M. (57218601726); Jouvet, Guillaume (26039185800); Kamleitner, Sarah (57210139782); Mey, Jürgen (56155101200); Herman, Frédéric (24759000200); Finley, Brandon D. (14050233700); Ivy-Ochs, Susan (6603730560); Vieli, Andreas (6603854277); Henz, Andreas (59379421100); Nussbaumer, Samuel U. (57212601443)","57218601726; 26039185800; 57210139782; 56155101200; 24759000200; 14050233700; 6603730560; 6603854277; 59379421100; 57212601443","A data-consistent model of the last glaciation in the Alps achieved with physics-driven AI","2025","Nature Communications ","16","1","848","","","24","10.1038/s41467-025-56168-3","https://www.scopus.com/pages/publications/85216439022?origin=resultslist","25 thousand years ago, the European Alps were covered by the kilometre-thick Alpine Ice Field. Numerical modelling of this glaciation has been challenged by model-data disagreements, including overestimations of ice thickness. We tackle this issue by applying the Instructed Glacier Model, a three-dimensional model enhanced with physics-informed machine learning. This approach allows us to produce 100 Alps-wide and 17 thousand-year-long simulations at 300 m resolution. Previously unfeasible due to computational costs, our experiment both increases model-data agreement in ice extent and reduces the offset in ice thickness by between 200% and 450% relative to previous studies. Our results have implications for better estimating former ice velocities, ice temperature, basal conditions, erosion processes, and paleoclimate in the Alps. This study demonstrates that physics-informed machine learning can help overcome the bottleneck of high-resolution glacier modelling and better test parameterisations, both of which are required to accurately describe complex topographies and ice dynamics. © The Author(s) 2025.","","Alps; artificial intelligence; glacial erosion; glacier dynamics; ice thickness; last glaciation; numerical model; paleoclimate; parameterization; Alps; Article; artificial intelligence; climate; climate model; enthalpy; glaciation; glacier; Greenland; ice sheet; last glacial maximum; machine learning; paleoclimate; physics; sediment; simulation; surface property; temperature; topography; velocity; aged; article; controlled study; diagnosis; nonhuman; thickness","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85216439022"
"Wang Y.; Zhu J.; Pan J.; Liu Y.","Wang, Yingge (59490015900); Zhu, Jinbiao (57262745400); Pan, Jie (57226631313); Liu, Yuquan (58748340000)","59490015900; 57262745400; 57226631313; 58748340000","Perspective Back-Projection Algorithm: Interface Imaging for Airborne Ice Detection","2025","Remote Sensing","17","20","3400","","","0","10.3390/rs17203400","https://www.scopus.com/pages/publications/105020265644?origin=resultslist","Highlights: What are the main findings? Our algorithm can process airborne radar (AGPR/RES) data to image 2D/3D ice bed interfaces by tracing unobstructed refraction paths and directly calculating travel times. Based on Snell’s Law, when the incident angle of an electromagnetic wave exceeds the critical angle, its energy cannot penetrate the air–ice interface to reach the ice–rock interface or return to the receiver, which limits the effectiveness of imaging algorithms. What is the implication of the main finding? By accounting for obstructions in refraction path tracing, the BP-based algorithm discussed here reduces imaging errors in 2D/3D subglacial interface detection. Through analytical and numerical analyses of radar signal propagation characteristics under the constraints of Snell’s Law, this research provides a new mechanistic explanation for the weak-focusing phenomenon that may occur in ice rock interface imaging. The deployment of traditional ground-penetrating radar (GPR) systems for ice detection on steep terrain presents substantial safety challenges for ground crews due to inaccessibility and hazardous working conditions. However, airborne GPR (AGPR) and radio echo sounding (RES) provide solutions to these difficulties. Assuming that ice is homogeneous, we introduce a perspective back-projection algorithm designed to process AGPR or RES data that directly searches for unobstructed refracted electromagnetic (EM) wave paths and focuses EM energy below the surface by computing path-specific travel times. The results from the 2D and 3D imaging tests indicate that the perspective back-projection algorithm can accurately image the ice–rock interface. However, Snell’s Law suggests that part of the energy may fail to propagate through the air–ice interface and reach either the ice–rock interface or the receivers in scenarios where the incident angle of an EM wave exceeds a certain threshold. This energy deficit can hinder the perspective back-projection algorithm from accurately imaging such ice–rock interfaces. Despite these limitations, the perspective back-projection algorithm remains a promising tool for imaging sub-ice interfaces in AGPR and RES ice detection. © 2025 by the authors.","airborne ground-penetrating radar; ice detection; interface imaging; radio echo sounding","Aircraft detection; Aircraft radar equipment; Computational electromagnetics; Electromagnetic waves; Error detection; Geological surveys; Geophysical prospecting; Glaciers; Ice; Problem solving; Radar imaging; Refraction; Rocks; Signal receivers; Tracking radar; Travel time; Airborne GPR; Airborne ground-penetrating radar; Backprojection algorithms; Electromagnetics; Ground Penetrating Radar; Ice detection; Interface imaging; Radio-echo sounding; Rock interfaces; Snell law; Ground penetrating radar systems","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105020265644"
"Wang Z.; Yuan Z.; Cheng M.; Huang X.; Liu K.; Wang Y.; Sun H.; Liao L.; Xu Z.; Chen J.; Wang W.; Liu L.; Bai X.; Xu L.; Wang E.; Wang L.","Wang, Zibing (59397933300); Yuan, Zifeng (60081945100); Cheng, Mouyang (58128539200); Huang, Xudan (57221460691); Liu, Keyang (57226343990); Wang, Yihan (57657754300); Sun, Huacong (57221719920); Liao, Lei (57218572216); Xu, Zhi (9236444800); Chen, Ji (55642062800); Wang, Wenlong (7501760396); Liu, Lei (57203731961); Bai, Xuedong (7201893211); Xu, Limei (7404744983); Wang, Enge (7403414156); Wang, Lifen (39862509500)","59397933300; 60081945100; 58128539200; 57221460691; 57226343990; 57657754300; 57221719920; 57218572216; 9236444800; 55642062800; 7501760396; 57203731961; 7201893211; 7404744983; 7403414156; 39862509500","Molecularly resolved mapping of heterogeneous ice nucleation and crystallization pathways using in-situ cryo-TEM","2025","Nature Communications ","16","1","7349","","","7","10.1038/s41467-025-62900-w","https://www.scopus.com/pages/publications/105012986693?origin=resultslist","Crystallization plays a fundamental role in diverse fields such as glaciology, geology, biology, and materials science. Among various crystallizing systems, the formation of ice remains elusive, despite decades of intensive investigation. In this study, we integrate in-situ cryogenic transmission electron microscopy with molecular dynamics simulations to develop a molecular-resolution mapping and thermodynamic framework for deposition freezing under low-temperature, low-pressure conditions. Our results demonstrate that ice formation on rapidly cooled substrates, representing far-from-equilibrium states, proceeds via an adsorption-mediated, barrierless pathway of heterogeneous ice nucleation, followed by progression toward thermodynamic equilibrium. This process is unveiled to involve a series of distinct yet interconnected steps, including amorphous ice adsorption, spontaneous nucleation and growth of ice I, Ostwald ripening, Wulff construction, oriented coalescence, and aggregation, all governed by interfacial free energy minima. Our findings offer direct molecular-level insight into the mechanisms of heterogeneous ice nucleation, enrich current understanding of non-classical nucleation pathways, and emphasize the critical role of interfacial energetics in shaping ice crystal morphology and quality. © The Author(s) 2025.","","bioenergetics; crystallization; electron microscopy; ice crystal; mapping method; adsorption; Article; controlled study; crystallization; energy transfer; enucleation; freezing; hypobaric pressure; low temperature; molecular dynamics; Ostwald ripening; thermodynamics; transmission electron microscopy; article; ice; transmission electron microscope","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105012986693"
"Chung A.; Parrenin F.; Mulvaney R.; Vittuari L.; Frezzotti M.; Zanutta A.; Lilien D.A.; Cavitte M.G.P.; Eisen O.","Chung, Ailsa (58625632100); Parrenin, Frédéric (55949165600); Mulvaney, Robert (7004989957); Vittuari, Luca (6507277582); Frezzotti, Massimo (56656256800); Zanutta, Antonio (6508369812); Lilien, David A. (56332887800); Cavitte, Marie G.P. (56596670100); Eisen, Olaf (6603111133)","58625632100; 55949165600; 7004989957; 6507277582; 56656256800; 6508369812; 56332887800; 56596670100; 6603111133","Age, thinning and spatial origin of the Beyond EPICA ice from a 2.5D ice flow model","2025","Cryosphere","19","10","","4125","4140","7","10.5194/tc-19-4125-2025","https://www.scopus.com/pages/publications/105017828508?origin=resultslist","The Beyond EPICA Oldest Ice project is a European project that aims to retrieve a continuous ice core up to 1.5 Ma through deep drilling at Little Dome C (LDC), Antarctica. In order to determine the age of the ice at a given depth before the ice is analysed in detail, 1D numerical models are often employed. However, they do not take into account any effects due to horizontal ice flow. We present a 2.5D inverse model that determines the age–depth profile along a flow line from Dome C (DC) to LDC, which is assumed to be stable in time. This means that flow line features such as flow direction and dome location have not changed over the time period considered. The model is constrained by dated radar internal reflecting horizons. Surface velocity measurements are used to determine the flow line and flow tube width, which also allows the model to consider lateral divergence. This new inverse model therefore improves on the methods used by 1D models previously applied to the DC area. This 2.5D model uses a previously developed numerical scheme with the novelty being the inverse methods used to optimise multiple parameters by comparison to radar constraints. By inferring a mechanical ice thickness, the model predicts either the thickness of a basal layer of stagnant ice or a basal melt rate. Results show that the deepest ice at Beyond EPICA Little Dome C (BELDC) originates from around 15 km upstream. The threshold for ice useful for paleoclimatic reconstruction is 20 kyr m−1 (20 000 annual layers per metre in the ice column). The oldest ice that meets this age resolution requirement is 1.12 Ma at BELDC according to the model. Over the LDC area, the thickness of a modelled basal layer is 200–250 m at the base of the ice sheet. Looking at modelled ice particle trajectories, interpretations indicate that this layer could be composed of stagnant ice, disturbed ice or even accreted ice (possibly containing debris). We explore the possibilities, though this is an open question that may only be answered by analysis of the Beyond EPICA ice core itself. Finally, we look at other ice cores that have already been drilled and measured, where the model has been applied. We discuss in detail the thinning in the deepest section of these ice cores, which is less than predicted by the model. This could mean that modelled ages are significantly overestimated in the deepest part of the ice column. Given that the age estimate from the 2.5D model is younger than previous estimates, this work shows the importance of considering the representation of the effects of horizontal flow when modelling the age profile. © Author(s) 2025.","","Antarctica; Dome Concordia; deep drilling; ice core; ice flow; radar; reconstruction; thinning","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105017828508"
